name,desc
Land's Stride,"Имя класса: Рейнджер, Уровень: 8, Описание: Starting at 8th level, moving through nonmagical difficult terrain costs you no extra movement. You can also pass through nonmagical plants without being slowed by them and without taking damage from them if they have thorns, spines, or a similar hazard. In addition, you have advantage on saving throws against plants that are magically created or manipulated to impede movement, such those created by the entangle spell."
Timeless Body,"Имя класса: Монах, Уровень: 15, Описание: At 15th level, your ki sustains you so that you suffer none of the frailty of old age, and you can't be aged magically. You can still die of old age, however. In addition, you no longer need food or water."
Druidic,"Имя класса: Друид [druid], Уровень: 1, Описание: You know Druidic, the secret language of druids. You can speak the language and use it to leave hidden messages. You and others who know this language automatically spot such a message. Others spot the message's presence with a successful DC 15 Wisdom (Perception) check but can't decipher it without magic."
Eldritch Invocation: Agonizing Blast,"Имя класса: Чародей, Уровень: 2, Описание: When you cast eldritch blast, add your Charisma modifier to the damage it deals on a hit."
Eldritch Invocation: Armor of Shadows,"Имя класса: Чародей, Уровень: 2, Описание: You can cast mage armor on yourself at will, without expending a spell slot or material components."
Eldritch Invocation: Ascendant Step,"Имя класса: Чародей, Уровень: 9, Описание: You can cast levitate on yourself at will, without expending a spell slot or material components."
Eldritch Invocation: Beast Speech,"Имя класса: Чародей, Уровень: 2, Описание: You can cast speak with animals at will, without expending a spell slot."
Eldritch Invocation: Beguiling Influence,"Имя класса: Чародей, Уровень: 2, Описание: You gain proficiency in the Deception and Persuasion skills."
Eldritch Invocation: Bewitching Whispers,"Имя класса: Чародей, Уровень: 7, Описание: You can cast compulsion once using a warlock spell slot. You can't do so again until you finish a long rest."
Eldritch Invocation: Book of Ancient Secrets,"Имя класса: Чародей, Уровень: 2, Описание: You can now inscribe magical rituals in your Book of Shadows. Choose two 1st-level spells that have the ritual tag from any class's spell list (the two needn't be from the same list). The spells appear in the book and don't count against the number of spells you know. With your Book of Shadows in hand, you can cast the chosen spells as rituals. You can't cast the spells except as rituals, unless you've learned them by some other means. You can also cast a warlock spell you know as a ritual if it has the ritual tag. On your adventures, you can add other ritual spells to your Book of Shadows. When you find such a spell, you can add it to the book if the spell's level is equal to or less than half your warlock level (rounded up) and if you can spare the time to transcribe the spell. For each level of the spell, the transcription process takes 2 hours and costs 50 gp for the rare inks needed to inscribe it."
Eldritch Invocation: Chains of Carceri,"Имя класса: Чародей, Уровень: 15, Описание: You can cast hold monster at will--targeting a celestial, fiend, or elemental--without expending a spell slot or material components. You must finish a long rest before you can use this invocation on the same creature again."
Eldritch Invocation: Devil's Sight,"Имя класса: Чародей, Уровень: 2, Описание: You can see normally in darkness, both magical and nonmagical, to a distance of 120 feet."
Eldritch Invocation: Dreadful Word,"Имя класса: Чародей, Уровень: 7, Описание: You can cast confusion once using a warlock spell slot. You can't do so again until you finish a long rest."
Eldritch Invocation: Eldritch Sight,"Имя класса: Чародей, Уровень: 2, Описание: You can cast detect magic at will, without expending a spell slot."
Eldritch Invocation: Eldritch Spear,"Имя класса: Чародей, Уровень: 2, Описание: When you cast eldritch blast, its range is 300 feet."
Eldritch Invocation: Eyes of the Rune Keeper,"Имя класса: Чародей, Уровень: 2, Описание: You can read all writing."
Eldritch Invocation: Fiendish Vigor,"Имя класса: Чародей, Уровень: 2, Описание: You can cast false life on yourself at will as a 1st-level spell, without expending a spell slot or material components."
Eldritch Invocation: Gaze of Two Minds,"Имя класса: Чародей, Уровень: 2, Описание: You can use your action to touch a willing humanoid and perceive through its senses until the end of your next turn. As long as the creature is on the same plane of existence as you, you can use your action on subsequent turns to maintain this connection, extending the duration until the end of your next turn. While perceiving through the other creature's senses, you benefit from any special senses possessed by that creature, and you are blinded and deafened to your own surroundings."
Eldritch Invocation: Lifedrinker,"Имя класса: Чародей, Уровень: 12, Описание: When you hit a creature with your pact weapon, the creature takes extra necrotic damage equal to your Charisma modifier (minimum 1)."
Eldritch Invocation: Mask of Many Faces,"Имя класса: Чародей, Уровень: 2, Описание: You can cast disguise self at will, without expending a spell slot."
Eldritch Invocation: Master of Myriad Forms,"Имя класса: Чародей, Уровень: 15, Описание: You can cast alter self at will, without expending a spell slot."
Eldritch Invocation: Minions of Chaos,"Имя класса: Чародей, Уровень: 9, Описание: You can cast conjure elemental once using a warlock spell slot. You can't do so again until you finish a long rest."
Eldritch Invocation: Mire the Mind,"Имя класса: Чародей, Уровень: 5, Описание: You can cast slow once using a warlock spell slot. You can't do so again until you finish a long rest."
Eldritch Invocation: Misty Visions,"Имя класса: Чародей, Уровень: 2, Описание: You can cast silent image at will, without expending a spell slot or material components."
Eldritch Invocation: One with Shadows,"Имя класса: Чародей, Уровень: 5, Описание: When you are in an area of dim light or darkness, you can use your action to become invisible until you move or take an action or a reaction."
Eldritch Invocation: Otherworldly Leap,"Имя класса: Чародей, Уровень: 9, Описание: You can cast jump on yourself at will, without expending a spell slot or material components."
Eldritch Invocation: Repelling Blast,"Имя класса: Чародей, Уровень: 2, Описание: When you hit a creature with eldritch blast, you can push the creature up to 10 feet away from you in a straight line."
Eldritch Invocation: Sculptor of Flesh,"Имя класса: Чародей, Уровень: 7, Описание: You can cast polymorph once using a warlock spell slot. You can't do so again until you finish a long rest."
Eldritch Invocation: Sign of Ill Omen,"Имя класса: Чародей, Уровень: 5, Описание: You can cast bestow curse once using a warlock spell slot. You can't do so again until you finish a long rest."
Eldritch Invocation: Thief of Five Fates,"Имя класса: Чародей, Уровень: 2, Описание: You can cast bane once using a warlock spell slot. You can't do so again until you finish a long rest."
Eldritch Invocation: Thirsting Blade,"Имя класса: Чародей, Уровень: 5, Описание: You can attack with your pact weapon twice, instead of once, whenever you take the Attack action on your turn."
Eldritch Invocation: Visions of Distant Realms,"Имя класса: Чародей, Уровень: 15, Описание: You can cast arcane eye at will, without expending a spell slot."
Eldritch Invocation: Voice of the Chain Master,"Имя класса: Чародей, Уровень: 2, Описание: You can communicate telepathically with your familiar and perceive through your familiar's senses as long as you are on the same plane of existence. Additionally, while perceiving through your familiar's senses, you can also speak through your familiar in your own voice, even if your familiar is normally incapable of speech."
Eldritch Invocation: Whispers of the Grave,"Имя класса: Чародей, Уровень: 9, Описание: You can cast speak with dead at will, without expending a spell slot."
Eldritch Invocation: Witch Sight,"Имя класса: Чародей, Уровень: 15, Описание: You can see the true form of any shapechanger or creature concealed by illusion or transmutation magic while the creature is within 30 feet of you and within line of sight."
Eldritch Invocations,"Имя класса: Чародей, Уровень: 2, Описание: In your study of occult lore, you have unearthed eldritch invocations, fragments of forbidden knowledge that imbue you with an abiding magical ability. At 2nd level, you gain two eldritch invocations of your choice. Your invocation options are detailed at the end of the class description. When you gain certain warlock levels, you gain additional invocations of your choice, as shown in the Invocations Known column of the Warlock table. Additionally, when you gain a level in this class, you can choose one of the invocations you know and replace it with another invocation that you could learn at that level."
Eldritch Master,"Имя класса: Чародей, Уровень: 20, Описание: At 20th level, you can draw on your inner reserve of mystical power while entreating your patron to regain expended spell slots. You can spend 1 minute entreating your patron for aid to regain all your expended spell slots from your Pact Magic feature. Once you regain spell slots with this feature, you must finish a long rest before you can do so again."
Elemental Affinity,"Имя класса: Волшебник, Уровень: 6, Сабкласс Драконий, Описание: Starting at 6th level, when you cast a spell that deals damage of the type associated with your draconic ancestry, you can add your Charisma modifier to one damage roll of that spell. At the same time, you can spend 1 sorcery point to gain resistance to that damage type for 1 hour."
Elusive,"Имя класса: Жулик, Уровень: 18, Описание: Beginning at 18th level, you are so evasive that attackers rarely gain the upper hand against you. No attack roll has advantage against you while you aren't incapacitated."
Empowered Evocation,"Имя класса: Мастер настройки, Уровень: 10, Сабкласс Воплощение, Описание: Beginning at 10th level, you can add your Intelligence modifier to one damage roll of any wizard evocation spell you cast."
Empty Body,"Имя класса: Монах, Уровень: 18, Описание: Beginning at 18th level, you can use your action to spend 4 ki points to become invisible for 1 minute. During that time, you also have resistance to all damage but force damage. Additionally, you can spend 8 ki points to cast the astral projection spell, without needing material components. When you do so, you can't take any other creatures with you."
Evocation Savant,"Имя класса: Мастер настройки, Уровень: 2, Сабкласс Воплощение, Описание: Beginning when you select this school at 2nd level, the gold and time you must spend to copy an evocation spell into your spellbook is halved."
Extra Attack (2),"Имя класса: Истребитель, Уровень: 11, Описание: Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn. The number of attacks increases to three when you reach 11th level in this class and to four when you reach 20th level in this class."
Extra Attack (3),"Имя класса: Истребитель, Уровень: 20, Описание: Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn. The number of attacks increases to three when you reach 11th level in this class and to four when you reach 20th level in this class."
Fast Hands,"Имя класса: Жулик, Уровень: 3, Сабкласс Вор, Описание: Starting at 3rd level, you can use the bonus action granted by your Cunning Action to make a Dexterity (Sleight of Hand) check, use your thieves' tools to disarm a trap or open a lock, or take the Use an Object action."
Fast Movement,"Имя класса: Варвар, Уровень: 5, Описание: Starting at 5th level, your speed increases by 10 feet while you aren't wearing heavy armor."
Favored Enemy (1 type),"Имя класса: Рейнджер, Уровень: 1, Описание: Beginning at 1st level, you have significant experience studying, tracking, hunting, and even talking to a certain type of enemy. Choose a type of favored enemy: aberrations, beasts, celestials, constructs, dragons, elementals, fey, fiends, giants, monstrosities, oozes, plants, or undead. Alternatively, you can select two races of humanoid (such as gnolls and orcs) as favored enemies. You have advantage on Wisdom (Survival) checks to track your favored enemies, as well as on Intelligence checks to recall information about them. When you gain this feature, you also learn one language of your choice that is spoken by your favored enemies, if they speak one at all. You choose one additional favored enemy, as well as an associated language, at 6th and 14th level. As you gain levels, your choices should reflect the types of monsters you have encountered on your adventures."
Favored Enemy (2 types),"Имя класса: Рейнджер, Уровень: 6, Описание: Beginning at 1st level, you have significant experience studying, tracking, hunting, and even talking to a certain type of enemy. Choose a type of favored enemy: aberrations, beasts, celestials, constructs, dragons, elementals, fey, fiends, giants, monstrosities, oozes, plants, or undead. Alternatively, you can select two races of humanoid (such as gnolls and orcs) as favored enemies. You have advantage on Wisdom (Survival) checks to track your favored enemies, as well as on Intelligence checks to recall information about them. When you gain this feature, you also learn one language of your choice that is spoken by your favored enemies, if they speak one at all. You choose one additional favored enemy, as well as an associated language, at 6th and 14th level. As you gain levels, your choices should reflect the types of monsters you have encountered on your adventures."
Favored Enemy (3 enemies),"Имя класса: Рейнджер, Уровень: 14, Описание: Beginning at 1st level, you have significant experience studying, tracking, hunting, and even talking to a certain type of enemy. Choose a type of favored enemy: aberrations, beasts, celestials, constructs, dragons, elementals, fey, fiends, giants, monstrosities, oozes, plants, or undead. Alternatively, you can select two races of humanoid (such as gnolls and orcs) as favored enemies. You have advantage on Wisdom (Survival) checks to track your favored enemies, as well as on Intelligence checks to recall information about them. When you gain this feature, you also learn one language of your choice that is spoken by your favored enemies, if they speak one at all. You choose one additional favored enemy, as well as an associated language, at 6th and 14th level. As you gain levels, your choices should reflect the types of monsters you have encountered on your adventures."
Feral Instinct,"Имя класса: Варвар, Уровень: 7, Описание: By 7th level, your instincts are so honed that you have advantage on initiative rolls. Additionally, if you are surprised at the beginning of combat and aren't incapacitated, you can act normally on your first turn, but only if you enter your rage before doing anything else on that turn."
Feral Senses,"Имя класса: Рейнджер, Уровень: 18, Описание: At 18th level, you gain preternatural senses that help you fight creatures you can't see. When you attack a creature you can't see, your inability to see it doesn't impose disadvantage on your attack rolls against it. You are also aware of the location of any invisible creature within 30 feet of you, provided that the creature isn't hidden from you and you aren't blinded or deafened."
Fiendish Resilience,"Имя класса: Чародей, Уровень: 10, Сабкласс Исчадие, Описание: Starting at 10th level, you can choose one damage type when you finish a short or long rest. You gain resistance to that damage type until you choose a different one with this feature. Damage from magical weapons or silver weapons ignores this resistance."
Fighting Style,"Имя класса: Рейнджер, Уровень: 2, Описание: At 2nd level, you adopt a particular style of fighting as your specialty. Choose one of the following options. You can't take a Fighting Style option more than once, even if you later get to choose again."
Fighting Style: Archery,"Имя класса: Рейнджер, Уровень: 2, Описание: You gain a +2 bonus to attack rolls you make with ranged weapons."
Fighting Style: Defense,"Имя класса: Рейнджер, Уровень: 2, Описание: While you are wearing armor, you gain a +1 bonus to AC."
Fighting Style: Dueling,"Имя класса: Рейнджер, Уровень: 2, Описание: When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon."
Fighting Style: Great Weapon Fighting,"Имя класса: Паладин, Уровень: 2, Описание: When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die and must use the new roll. The weapon must have the two-handed or versatile property for you to gain this benefit."
Fighting Style: Protection,"Имя класса: Паладин, Уровень: 2, Описание: When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield."
Fighting Style: Two-Weapon Fighting,"Имя класса: Рейнджер, Уровень: 2, Описание: When you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack."
Flexible Casting: Converting Spell Slot,"Имя класса: Волшебник, Уровень: 2, Описание: As a bonus action on your turn, you can expend one spell slot and gain a number of sorcery points equal to the slot's level.."
Flexible Casting: Creating Spell Slots,"Имя класса: Волшебник, Уровень: 2, Описание: You can transform unexpended sorcery points into one spell slot as a bonus action on your turn. The Creating Spell Slots table shows the cost of creating a spell slot of a given level. You can create spell slots no higher in level than 5th.  Any spell slot you create with this feature vanishes when you finish a long rest."
Flurry of Blows,"Имя класса: Монах, Уровень: 2, Описание: Immediately after you take the Attack action on your turn, you can spend 1 ki point to make two unarmed strikes as a bonus action."
Foe Slayer,"Имя класса: Рейнджер, Уровень: 20, Описание: At 20th level, you become an unparalleled hunter of your enemies. Once on each of your turns, you can add your Wisdom modifier to the attack roll or the damage roll of an attack you make against one of your favored enemies. You can choose to use this feature before or after the roll, but before any effects of the roll are applied."
Font of Inspiration,"Имя класса: Бард, Уровень: 5, Описание: Beginning when you reach 5th level, you regain all of your expended uses of Bardic Inspiration when you finish a short or long rest."
Font of Magic,"Имя класса: Волшебник, Уровень: 2, Описание: At 2nd level, you tap into a deep wellspring of magic within yourself. This wellspring is represented by sorcery points, which allow you to create a variety of magical effects. Sorcery Points You have 2 sorcery points, and you gain more as you reach higher levels, as shown in the Sorcery Points column of the Sorcerer table. You can never have more sorcery points than shown on the table for your level. You regain all spent sorcery points when you finish a long rest."
Frenzy,"Имя класса: Варвар, Уровень: 3, Сабкласс Берсерк, Описание: Starting when you choose this path at 3rd level, you can go into a frenzy when you rage. If you do so, for the duration of your rage you can make a single melee weapon attack as a bonus action on each of your turns after this one. When your rage ends, you suffer one level of exhaustion (as described in appendix A)."
Hide in Plain Sight,"Имя класса: Рейнджер, Уровень: 10, Описание: Starting at 10th level, you can spend 1 minute creating camouflage for yourself. You must have access to fresh mud, dirt, plants, soot, and other naturally occurring materials with which to create your camouflage. Once you are camouflaged in this way, you can try to hide by pressing yourself up against a solid surface, such as a tree or wall, that is at least as tall and wide as you are. You gain a +10 bonus to Dexterity (Stealth) checks as long as you remain there without moving or taking actions. Once you move or take an action or a reaction, you must camouflage yourself again to gain this benefit."
Holy Nimbus,"Имя класса: Паладин, Уровень: 20, Сабкласс Преданность, Описание: At 20th level, as an action, you can emanate an aura of sunlight. For 1 minute, bright light shines from you in a 30-foot radius, and dim light shines 30 feet beyond that. Whenever an enemy creature starts its turn in the bright light, the creature takes 10 radiant damage. In addition, for the duration, you have advantage on saving throws against spells cast by fiends or undead."
Hunter's Prey,"Имя класса: Рейнджер, Уровень: 3, Сабкласс Охотник, Описание: At 3rd level, you gain one of the following features of your choice. Colossus Slayer Giant Killer Horde Breaker"
Hunter's Prey: Colossus Slayer,"Имя класса: Рейнджер, Уровень: 3, Сабкласс Охотник, Описание: Your tenacity can wear down the most potent foes. When you hit a creature with a weapon attack, the creature takes an extra 1d8 damage if it's below its hit point maximum. You can deal this extra damage only once per turn."
Hunter's Prey: Giant Killer,"Имя класса: Рейнджер, Уровень: 3, Сабкласс Охотник, Описание: When a Large or larger creature within 5 feet of you hits or misses you with an attack, you can use your reaction to attack that creature immediately after its attack, provided that you can see the creature."
Hunter's Prey: Horde Breaker,"Имя класса: Рейнджер, Уровень: 3, Сабкласс Охотник, Описание: Once on each of your turns when you make a weapon attack, you can make another attack with the same weapon against a different creature that is within 5 feet of the original target and within range of your weapon."
Hurl Through Hell,"Имя класса: Чародей, Уровень: 14, Сабкласс Исчадие, Описание: Starting at 14th level, when you hit a creature with an attack, you can use this feature to instantly transport the target through the lower planes. The creature disappears and hurtles through a nightmare landscape. At the end of your next turn, the target returns to the space it previously occupied, or the nearest unoccupied space. If the target is not a fiend, it takes 10d10 psychic damage as it reels from its horrific experience. Once you use this feature, you can't use it again until you finish a long rest."
Improved Critical,"Имя класса: Истребитель, Уровень: 3, Сабкласс Чемпионка, Описание: Beginning when you choose this archetype at 3rd level, your weapon attacks score a critical hit on a roll of 19 or 20."
Improved Divine Smite,"Имя класса: Паладин, Уровень: 11, Описание: By 11th level, you are so suffused with righteous might that all your melee weapon strikes carry divine power with them. Whenever you hit a creature with a melee weapon, the creature takes an extra 1d8 radiant damage. If you also use your Divine Smite with an attack, you add this damage to the extra damage of your Divine Smite."
Indomitable (1 use),"Имя класса: Истребитель, Уровень: 9, Описание: Beginning at 9th level, you can reroll a saving throw that you fail. If you do so, you must use the new roll, and you can't use this feature again until you finish a long rest. You can use this feature twice between long rests starting at 13th level and three times between long rests starting at 17th level."
Indomitable (2 uses),"Имя класса: Истребитель, Уровень: 13, Описание: Beginning at 9th level, you can reroll a saving throw that you fail. If you do so, you must use the new roll, and you can't use this feature again until you finish a long rest. You can use this feature twice between long rests starting at 13th level and three times between long rests starting at 17th level."
Indomitable (3 uses),"Имя класса: Истребитель, Уровень: 17, Описание: Beginning at 9th level, you can reroll a saving throw that you fail. If you do so, you must use the new roll, and you can't use this feature again until you finish a long rest. You can use this feature twice between long rests starting at 13th level and three times between long rests starting at 17th level."
Indomitable Might,"Имя класса: Варвар, Уровень: 18, Описание: Beginning at 18th level, if your total for a Strength check is less than your Strength score, you can use that score in place of the total."
Intimidating Presence,"Имя класса: Варвар, Уровень: 10, Сабкласс Берсерк, Описание: Beginning at 10th level, you can use your action to frighten someone with your menacing presence. When you do so, choose one creature that you can see within 30 feet of you. If the creature can see or hear you, it must succeed on a Wisdom saving throw (DC equal to 8 + your proficiency bonus + your Charisma modifier) or be frightened of you until the end of your next turn. On subsequent turns, you can use your action to extend the duration of this effect on the frightened creature until the end of your next turn. This effect ends if the creature ends its turn out of line of sight or more than 60 feet away from you.  If the creature succeeds on its saving throw, you can't use this feature on that creature again for 24 hours."
Jack of All Trades,"Имя класса: Бард, Уровень: 2, Описание: Starting at 2nd level, you can add half your proficiency bonus, rounded down, to any ability check you make that doesn't already include your proficiency bonus."
Ki,"Имя класса: Монах, Уровень: 2, Описание: Starting at 2nd level, your training allows you to harness the mystic energy of ki. Your access to this energy is represented by a number of ki points. Your monk level determines the number of points you have, as shown in the Ki Points column of Table: The Monk. You can spend these points to fuel various ki features. You start knowing three such features: Flurry of Blows, Patient Defense, and Step of the Wind. You learn more ki features as you gain levels in this class. When you spend a ki point, it is unavailable until you finish a short or long rest, at the end of which you draw all of your expended ki back into yourself. You must spend at least 30 minutes of the rest meditating to regain your ki points. Some of your ki features require your target to make a saving throw to resist the feature's effects. The saving throw DC is calculated as follows: Ki save DC = 8 + your proficiency bonus + your Wisdom modifier"
Ki Empowered Strikes,"Имя класса: Монах, Уровень: 6, Описание: Starting at 6th level, your unarmed strikes count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage."
Lay on Hands,"Имя класса: Паладин, Уровень: 1, Описание: Your blessed touch can heal wounds. You have a pool of healing power that replenishes when you take a long rest. With that pool, you can restore a total number of hit points equal to your paladin level x 5. As an action, you can touch a creature and draw power from the pool to restore a number of hit points to that creature, up to the maximum amount remaining in your pool. Alternatively, you can expend 5 hit points from your pool of healing to cure the target of one disease or neutralize one poison affecting it. You can cure multiple diseases and neutralize multiple poisons with a single use of Lay on Hands, expending hit points separately for each one. This feature has no effect on undead and constructs."
Magical Secrets,"Имя класса: Бард, Уровень: 18, Описание: By 10th level, you have plundered magical knowledge from a wide spectrum of disciplines. Choose two spells from any class, including this one. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip.  The chosen spells count as bard spells for you and are included in the number in the Spells Known column of the Bard table.  You learn two additional spells from any class at 14th level and again at 18th level."
Martial Archetype,"Имя класса: Истребитель, Уровень: 3, Описание: At 3rd level, you choose an archetype that you strive to emulate in your combat styles and techniques, such as Champion. The archetype you choose grants you features at 3rd level and again at 7th, 10th, 15th, and 18th level."
Martial Arts,"Имя класса: Монах, Уровень: 1, Описание: At 1st level, your practice of martial arts gives you mastery of combat styles that use unarmed strikes and monk weapons, which are shortswords and any simple melee weapons that don't have the two- handed or heavy property. You gain the following benefits while you are unarmed or wielding only monk weapons and you aren't wearing armor or wielding a shield: - You can use Dexterity instead of Strength for the attack and damage rolls of your unarmed strikes and monk weapons. - You can roll a d4 in place of the normal damage of your unarmed strike or monk weapon. This die changes as you gain monk levels, as shown in the Martial Arts column of Table: The Monk. - When you use the Attack action with an unarmed strike or a monk weapon on your turn, you can make one unarmed strike as a bonus action. For example, if you take the Attack action and attack with a quarterstaff, you can also make an unarmed strike as a bonus action, assuming you haven't already taken a bonus action this turn. Certain monasteries use specialized forms of the monk weapons. For example, you might use a club that is two lengths of wood connected by a short chain (called a nunchaku) or a sickle with a shorter, straighter blade (called a kama). Whatever name you use for a monk weapon, you can use the game statistics provided for the weapon."
Metamagic,"Имя класса: Волшебник, Уровень: 17, Описание: At 3rd level, you gain the ability to twist your spells to suit your needs. You gain two of the following Metamagic options of your choice. You gain another one at 10th and 17th level. You can use only one Metamagic option on a spell when you cast it, unless otherwise noted."
Metamagic: Careful Spell,"Имя класса: Волшебник, Уровень: 3, Описание: When you cast a spell that forces other creatures to make a saving throw, you can protect some of those creatures from the spell's full force. To do so, you spend 1 sorcery point and choose a number of those creatures up to your Charisma modifier (minimum of one creature). A chosen creature automatically succeeds on its saving throw against the spell."
Metamagic: Distant Spell,"Имя класса: Волшебник, Уровень: 3, Описание: When you cast a spell that has a range of 5 feet or greater, you can spend 1 sorcery point to double the range of the spell. When you cast a spell that has a range of touch, you can spend 1 sorcery point to make the range of the spell 30 feet."
Metamagic: Empowered Spell,"Имя класса: Волшебник, Уровень: 3, Описание: When you roll damage for a spell, you can spend 1 sorcery point to reroll a number of the damage dice up to your Charisma modifier (minimum of one). You must use the new rolls. You can use Empowered Spell even if you have already used a different Metamagic option during the casting of the spell."
Metamagic: Extended Spell,"Имя класса: Волшебник, Уровень: 3, Описание: When you cast a spell that has a duration of 1 minute or longer, you can spend 1 sorcery point to double its duration, to a maximum duration of 24 hours."
Metamagic: Heightened Spell,"Имя класса: Волшебник, Уровень: 3, Описание: When you cast a spell that forces a creature to make a saving throw to resist its effects, you can spend 3 sorcery points to give one target of the spell disadvantage on its first saving throw made against the spell."
Metamagic: Quickened Spell,"Имя класса: Волшебник, Уровень: 3, Описание: When you cast a spell that has a casting time of 1 action, you can spend 2 sorcery points to change the casting time to 1 bonus action for this casting."
Metamagic: Subtle Spell,"Имя класса: Волшебник, Уровень: 3, Описание: When you cast a spell, you can spend 1 sorcery point to cast it without any somatic or verbal components."
Metamagic: Twinned Spell,"Имя класса: Волшебник, Уровень: 3, Описание: When you cast a spell that targets only one creature and doesn't have a range of self, you can spend a number of sorcery points equal to the spell's level to target a second creature in range with the same spell (1 sorcery point if the spell is a cantrip). To be eligible, a spell must be incapable of targeting more than one creature at the spell's current level. For example, magic missile and scorching ray aren't eligible, but ray of frost is."
Mindless Rage,"Имя класса: Варвар, Уровень: 6, Сабкласс Берсерк, Описание: Beginning at 6th level, you can't be charmed or frightened while raging. If you are charmed or frightened when you enter your rage, the effect is suspended for the duration of the rage."
Monastic Tradition,"Имя класса: Монах, Уровень: 3, Описание: When you reach 3rd level, you commit yourself to a monastic tradition, such as the Way of the Open Hand. Your tradition grants you features at 3rd level and again at 6th, 11th, and 17th level."
Evasion,"Имя класса: Жулик, Уровень: 7, Описание: Beginning at 7th level, you can nimbly dodge out of the way of certain area effects, such as a red dragon's fiery breath or an ice storm spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail."
Multiattack,"Имя класса: Рейнджер, Уровень: 11, Сабкласс Охотник, Описание: At 11th level, you gain one of the following features of your choice. Volley Whirlwind Attack"
Multiattack: Volley,"Имя класса: Рейнджер, Уровень: 11, Сабкласс Охотник, Описание: You can use your action to make a ranged attack against any number of creatures within 10 feet of a point you can see within your weapon's range. You must have ammunition for each target, as normal, and you make a separate attack roll for each target."
Multiattack: Whirlwind Attack,"Имя класса: Рейнджер, Уровень: 11, Сабкласс Охотник, Описание: You can use your action to make a melee attack against any number of creatures within 5 feet of you, with a separate attack roll for each target."
Mystic Arcanum (6th level),"Имя класса: Чародей, Уровень: 11, Описание: At 11th level, your patron bestows upon you a magical secret called an arcanum. Choose one 6th- level spell from the warlock spell list as this arcanum. You can cast your arcanum spell once without expending a spell slot. You must finish a long rest before you can do so again. At higher levels, you gain more warlock spells of your choice that can be cast in this way: one 7th- level spell at 13th level, one 8th-level spell at 15th level, and one 9th-level spell at 17th level. You regain all uses of your Mystic Arcanum when you finish a long rest."
Mystic Arcanum (7th level),"Имя класса: Чародей, Уровень: 13, Описание: At 11th level, your patron bestows upon you a magical secret called an arcanum. Choose one 6th- level spell from the warlock spell list as this arcanum. You can cast your arcanum spell once without expending a spell slot. You must finish a long rest before you can do so again. At higher levels, you gain more warlock spells of your choice that can be cast in this way: one 7th- level spell at 13th level, one 8th-level spell at 15th level, and one 9th-level spell at 17th level. You regain all uses of your Mystic Arcanum when you finish a long rest."
Mystic Arcanum (8th level),"Имя класса: Чародей, Уровень: 15, Описание: At 11th level, your patron bestows upon you a magical secret called an arcanum. Choose one 6th- level spell from the warlock spell list as this arcanum. You can cast your arcanum spell once without expending a spell slot. You must finish a long rest before you can do so again. At higher levels, you gain more warlock spells of your choice that can be cast in this way: one 7th- level spell at 13th level, one 8th-level spell at 15th level, and one 9th-level spell at 17th level. You regain all uses of your Mystic Arcanum when you finish a long rest."
Mystic Arcanum (9th level),"Имя класса: Чародей, Уровень: 17, Описание: At 11th level, your patron bestows upon you a magical secret called an arcanum. Choose one 6th- level spell from the warlock spell list as this arcanum. You can cast your arcanum spell once without expending a spell slot. You must finish a long rest before you can do so again. At higher levels, you gain more warlock spells of your choice that can be cast in this way: one 7th- level spell at 13th level, one 8th-level spell at 15th level, and one 9th-level spell at 17th level. You regain all uses of your Mystic Arcanum when you finish a long rest."
Natural Explorer (1 terrain type),"Имя класса: Рейнджер, Уровень: 1, Описание: You are particularly familiar with one type of natural environment and are adept at traveling and surviving in such regions. Choose one type of favored terrain: arctic, coast, desert, forest, grassland, mountain, or swamp. When you make an Intelligence or Wisdom check related to your favored terrain, your proficiency bonus is doubled if you are using a skill that you're proficient in. While traveling for an hour or more in your favored terrain, you gain the following benefits: - Difficult terrain doesn't slow your group's travel. - Your group can't become lost except by magical means. - Even when you are engaged in another activity while traveling (such as foraging, navigating, or tracking), you remain alert to danger. - If you are traveling alone, you can move stealthily at a normal pace. - When you forage, you find twice as much food as you normally would. - While tracking other creatures, you also learn their exact number, their sizes, and how long ago they passed through the area. You choose additional favored terrain types at 6th and 10th level."
